1,12
2,11
3,7
4,9
5,2
6,5
7,14
8,10
9,6
10,13
11,1
12,4
13,8
14,3
15,23
16,18
17,25
18,21
19,17
20,22
21,20
22,19
23,27
24,28
25,24
26,26
27,15
28,16
29,31
30,40
31,42
32,32
33,38
34,29
35,35
36,34
37,33
38,30
39,39
40,36
41,37
42,41
43,55
44,56
45,43
46,50
47,54
48,51
49,49
50,46
51,45
52,48
53,52
54,47
55,53
56,44
57,57
58,65
59,58
60,67
61,61
62,63
63,60
64,59
65,62
66,68
67,64
68,66
69,74
70,70
71,77
72,75
73,78
74,69
75,73
76,76
77,71
78,72
79,91
80,84
81,79
82,87
83,89
84,81
85,92
86,83
87,82
88,88
89,85
90,86
91,90
92,80
93,94
94,103
95,104
96,99
97,100
98,97
99,102
100,93
101,98
102,96
103,101
104,95
105,115
106,106
107,112
108,116
109,114
110,107
111,108
112,105
113,111
114,113
115,109
116,110
117,120
118,121
119,124
120,118
121,117
122,126
123,119
124,125
125,123
126,122
127,127
128,128
129,132
130,134
131,129
132,131
133,130
134,133
